Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
1110.59  -9999.    274.54    67.26     -8.34      0.02       4715.6    585.55    269.14     4.85     359.84      8.34 1  -9999.  -9999.   -76.8506    39.0043  -9999.  -9999.  -9999.
1111.59  -9999.    274.52    66.68     -8.31      0.05       4719.6    585.28    269.01     4.80     359.66      8.31 1  -9999.  -9999.   -76.8506    39.0042  -9999.  -9999.  -9999.
1112.59  -9999.    274.49    66.18     -8.28      0.07       4723.0    585.02    268.88     4.76     359.49      8.28 1  -9999.  -9999.   -76.8506    39.0042  -9999.  -9999.  -9999.
1113.59  -9999.    274.47    65.62     -8.25      0.10       4727.4    584.74    268.75     4.72     359.32      8.25 1  -9999.  -9999.   -76.8506    39.0041  -9999.  -9999.  -9999.
1114.59  -9999.    274.45    65.04     -8.21      0.12       4730.9    584.47    268.61     4.67     359.17      8.22 1  -9999.  -9999.   -76.8506    39.0040  -9999.  -9999.  -9999.
1115.59  -9999.    274.41    64.65     -8.18      0.14       4734.3    584.19    268.50     4.63     359.03      8.18 1  -9999.  -9999.   -76.8506    39.0039  -9999.  -9999.  -9999.
1116.59  -9999.    274.38    64.41     -8.15      0.16       4738.9    583.91    268.42     4.61     358.90      8.15 1  -9999.  -9999.   -76.8507    39.0039  -9999.  -9999.  -9999.
1117.59  -9999.    274.36    64.31     -8.11      0.17       4743.1    583.63    268.37     4.59     358.78      8.11 1  -9999.  -9999.   -76.8507    39.0038  -9999.  -9999.  -9999.
1118.59  -9999.    274.33    64.31     -8.07      0.19       4746.3    583.35    268.34     4.58     358.66      8.08 1  -9999.  -9999.   -76.8507    39.0037  -9999.  -9999.  -9999.
1119.59  -9999.    274.29    64.24     -8.04      0.20       4750.9    583.07    268.29     4.57     358.56      8.04 1  -9999.  -9999.   -76.8507    39.0037  -9999.  -9999.  -9999.
1120.59  -9999.    274.25    64.06     -8.00      0.22       4754.9    582.79    268.22     4.55     358.46      8.01 1  -9999.  -9999.   -76.8507    39.0036  -9999.  -9999.  -9999.
1121.59  -9999.    274.22    63.86     -7.97      0.23       4758.0    582.52    268.15     4.52     358.37      7.97 1  -9999.  -9999.   -76.8507    39.0035  -9999.  -9999.  -9999.
1122.59  -9999.    274.20    63.60     -7.94      0.24       4761.3    582.25    268.07     4.50     358.29      7.94 1  -9999.  -9999.   -76.8507    39.0034  -9999.  -9999.  -9999.
1123.59  -9999.    274.17    63.24     -7.90      0.25       4766.5    581.99    267.98     4.47     358.22      7.91 1  -9999.  -9999.   -76.8506    39.0034  -9999.  -9999.  -9999.
1124.59  -9999.    274.14    62.90     -7.87      0.25       4768.7    581.72    267.88     4.44     358.17      7.88 1  -9999.  -9999.   -76.8506    39.0033  -9999.  -9999.  -9999.
1125.59  -9999.    274.11    62.53     -7.84      0.25       4772.4    581.46    267.77     4.40     358.14      7.85 1  -9999.  -9999.   -76.8506    39.0033  -9999.  -9999.  -9999.
1126.59  -9999.    274.09    62.02     -7.81      0.25       4776.1    581.19    267.64     4.36     358.14      7.82 1  -9999.  -9999.   -76.8506    39.0032  -9999.  -9999.  -9999.
1127.59  -9999.    274.06    61.24     -7.78      0.25       4779.1    580.91    267.45     4.30     358.17      7.79 1  -9999.  -9999.   -76.8506    39.0031  -9999.  -9999.  -9999.
1128.59  -9999.    274.03    59.89     -7.76      0.24       4783.5    580.62    267.13     4.20     358.22      7.76 1  -9999.  -9999.   -76.8506    39.0030  -9999.  -9999.  -9999.
1129.59  -9999.    274.02    57.89     -7.73      0.23       4788.1    580.33    266.67     4.06     358.30      7.73 1  -9999.  -9999.   -76.8506    39.0030  -9999.  -9999.  -9999.
1130.59  -9999.    274.00    56.16     -7.71      0.21       4792.2    580.02    266.26     3.93     358.40      7.71 1  -9999.  -9999.   -76.8506    39.0029  -9999.  -9999.  -9999.
1131.59  -9999.    273.98    54.82     -7.68      0.20       4797.8    579.72    265.93     3.83     358.53      7.69 1  -9999.  -9999.   -76.8506    39.0028  -9999.  -9999.  -9999.
1132.59  -9999.    273.97    53.99     -7.66      0.18       4800.3    579.42    265.72     3.77     358.68      7.66 1  -9999.  -9999.   -76.8506    39.0028  -9999.  -9999.  -9999.
1133.59  -9999.    273.95    53.54     -7.64      0.15       4805.1    579.11    265.59     3.74     358.85      7.64 1  -9999.  -9999.   -76.8506    39.0027  -9999.  -9999.  -9999.
1134.59  -9999.    273.92    53.07     -7.62      0.13       4809.8    578.81    265.45     3.70     359.04      7.62 1  -9999.  -9999.   -76.8506    39.0026  -9999.  -9999.  -9999.
1135.59  -9999.    273.89    52.49     -7.60      0.10       4814.1    578.52    265.28     3.65     359.24      7.60 1  -9999.  -9999.   -76.8506    39.0025  -9999.  -9999.  -9999.
1136.59  -9999.    273.86    52.10     -7.58      0.07       4817.9    578.23    265.15     3.62     359.45      7.58 1  -9999.  -9999.   -76.8506    39.0025  -9999.  -9999.  -9999.
1137.59  -9999.    273.83    51.91     -7.56      0.04       4821.8    577.94    265.08     3.60     359.67      7.56 1  -9999.  -9999.   -76.8505    39.0024  -9999.  -9999.  -9999.
1138.59  -9999.    273.80    51.78     -7.55      0.01       4825.1    577.65    265.03     3.59     359.90      7.55 1  -9999.  -9999.   -76.8505    39.0023  -9999.  -9999.  -9999.
1139.59  -9999.    273.79    51.84     -7.54     -0.02       4828.8    577.36    265.02     3.59       0.15      7.54 1  -9999.  -9999.   -76.8505    39.0023  -9999.  -9999.  -9999.
1140.59  -9999.    273.76    52.07     -7.53     -0.05       4833.0    577.08    265.06     3.60       0.41      7.53 1  -9999.  -9999.   -76.8505    39.0022  -9999.  -9999.  -9999.
1141.59  -9999.    273.73    52.36     -7.52     -0.09       4838.0    576.79    265.10     3.61       0.68      7.52 1  -9999.  -9999.   -76.8505    39.0022  -9999.  -9999.  -9999.
1142.59  -9999.    273.69    52.68     -7.51     -0.12       4841.8    576.50    265.14     3.63       0.95      7.52 1  -9999.  -9999.   -76.8505    39.0021  -9999.  -9999.  -9999.
1143.59  -9999.    273.65    52.85     -7.51     -0.16       4846.3    576.21    265.14     3.63       1.21      7.51 1  -9999.  -9999.   -76.8506    39.0020  -9999.  -9999.  -9999.
1144.59  -9999.    273.62    52.77     -7.51     -0.19       4849.2    575.93    265.10     3.62       1.45      7.51 1  -9999.  -9999.   -76.8506    39.0019  -9999.  -9999.  -9999.
1145.59  -9999.    273.59    52.74     -7.51     -0.22       4853.0    575.64    265.06     3.61       1.68      7.51 1  -9999.  -9999.   -76.8506    39.0019  -9999.  -9999.  -9999.
1146.59  -9999.    273.55    52.94     -7.51     -0.25       4857.3    575.35    265.07     3.61       1.88      7.51 1  -9999.  -9999.   -76.8506    39.0018  -9999.  -9999.  -9999.
1147.59  -9999.    273.51    53.08     -7.51     -0.27       4861.3    575.07    265.07     3.61       2.06      7.51 1  -9999.  -9999.   -76.8507    39.0017  -9999.  -9999.  -9999.
1148.59  -9999.    273.47    52.99     -7.51     -0.29       4865.6    574.78    265.01     3.60       2.22      7.52 1  -9999.  -9999.   -76.8507    39.0017  -9999.  -9999.  -9999.
1149.59  -9999.    273.44    52.94     -7.52     -0.31       4870.6    574.49    264.97     3.59       2.36      7.53 1  -9999.  -9999.   -76.8507    39.0016  -9999.  -9999.  -9999.
1150.59  -9999.    273.40    53.04     -7.53     -0.32       4873.9    574.21    264.96     3.59       2.47      7.53 1  -9999.  -9999.   -76.8507    39.0015  -9999.  -9999.  -9999.
1151.59  -9999.    273.36    53.14     -7.53     -0.33       4876.3    573.93    264.95     3.59       2.54      7.54 1  -9999.  -9999.   -76.8507    39.0015  -9999.  -9999.  -9999.
1152.59  -9999.    273.34    53.24     -7.54     -0.34       4881.4    573.64    264.95     3.59       2.59      7.55 1  -9999.  -9999.   -76.8506    39.0014  -9999.  -9999.  -9999.
1153.59  -9999.    273.31    53.38     -7.55     -0.34       4885.0    573.37    264.95     3.59       2.60      7.56 1  -9999.  -9999.   -76.8506    39.0013  -9999.  -9999.  -9999.
1154.59  -9999.    273.26    53.57     -7.56     -0.34       4890.2    573.09    264.96     3.60       2.59      7.56 1  -9999.  -9999.   -76.8506    39.0013  -9999.  -9999.  -9999.
1155.59  -9999.    273.22    53.85     -7.57     -0.33       4894.0    572.82    264.98     3.60       2.54      7.57 1  -9999.  -9999.   -76.8506    39.0012  -9999.  -9999.  -9999.
1156.59  -9999.    273.18    54.20     -7.57     -0.32       4896.7    572.56    265.03     3.62       2.45      7.58 1  -9999.  -9999.   -76.8506    39.0012  -9999.  -9999.  -9999.
1157.59  -9999.    273.15    54.45     -7.58     -0.31       4900.3    572.31    265.06     3.63       2.33      7.59 1  -9999.  -9999.   -76.8507    39.0011  -9999.  -9999.  -9999.
1158.59  -9999.    273.12    54.68     -7.59     -0.29       4902.6    572.05    265.08     3.64       2.18      7.59 1  -9999.  -9999.   -76.8507    39.0011  -9999.  -9999.  -9999.
1159.59  -9999.    273.08    54.97     -7.59     -0.26       4907.3    571.80    265.12     3.65       1.99      7.60 1  -9999.  -9999.   -76.8507    39.0010  -9999.  -9999.  -9999.
1160.59  -9999.    273.05    55.33     -7.59     -0.24       4910.5    571.54    265.18     3.67       1.78      7.60 1  -9999.  -9999.   -76.8507    39.0009  -9999.  -9999.  -9999.
1161.59  -9999.    273.02    55.73     -7.59     -0.20       4914.2    571.28    265.24     3.69       1.54      7.59 1  -9999.  -9999.   -76.8507    39.0008  -9999.  -9999.  -9999.
1162.59  -9999.    272.98    56.21     -7.59     -0.17       4918.1    571.02    265.31     3.71       1.28      7.59 1  -9999.  -9999.   -76.8507    39.0007  -9999.  -9999.  -9999.
1163.59  -9999.    272.94    56.72     -7.58     -0.13       4921.6    570.75    265.39     3.73       1.00      7.58 1  -9999.  -9999.   -76.8507    39.0006  -9999.  -9999.  -9999.
1164.59  -9999.    272.90    57.09     -7.58     -0.09       4925.3    570.47    265.44     3.75       0.71      7.58 1  -9999.  -9999.   -76.8507    39.0006  -9999.  -9999.  -9999.
1165.59  -9999.    272.86    57.33     -7.57     -0.05       4929.0    570.18    265.46     3.76       0.39      7.57 1  -9999.  -9999.   -76.8507    39.0005  -9999.  -9999.  -9999.
1166.59  -9999.    272.82    57.67     -7.56     -0.01       4933.3    569.89    265.50     3.77       0.07      7.56 1  -9999.  -9999.   -76.8507    39.0004  -9999.  -9999.  -9999.
1167.59  -9999.    272.78    57.97     -7.55      0.04       4937.8    569.58    265.52     3.78     359.73      7.55 1  -9999.  -9999.   -76.8507    39.0004  -9999.  -9999.  -9999.
1168.59  -9999.    272.74    58.01     -7.54      0.08       4942.5    569.26    265.49     3.77     359.40      7.54 1  -9999.  -9999.   -76.8507    39.0003  -9999.  -9999.  -9999.
1169.59  -9999.    272.70    57.92     -7.53      0.12       4946.0    568.93    265.44     3.76     359.07      7.53 1  -9999.  -9999.   -76.8507    39.0002  -9999.  -9999.  -9999.
1170.59  -9999.    272.66    57.96     -7.52      0.16       4951.0    568.58    265.41     3.75     358.76      7.52 1  -9999.  -9999.   -76.8507    39.0002  -9999.  -9999.  -9999.
1171.59  -9999.    272.63    58.03     -7.50      0.20       4956.4    568.22    265.39     3.75     358.47      7.50 1  -9999.  -9999.   -76.8507    39.0001  -9999.  -9999.  -9999.
1172.59  -9999.    272.59    58.14     -7.49      0.23       4962.2    567.85    265.38     3.75     358.21      7.49 1  -9999.  -9999.   -76.8507    39.0000  -9999.  -9999.  -9999.
1173.59  -9999.    272.53    58.24     -7.47      0.26       4967.6    567.47    265.35     3.74     357.97      7.48 1  -9999.  -9999.   -76.8508    38.9999  -9999.  -9999.  -9999.
1174.59  -9999.    272.47    58.11     -7.46      0.29       4974.1    567.08    265.27     3.72     357.76      7.46 1  -9999.  -9999.   -76.8508    38.9999  -9999.  -9999.  -9999.
1175.59  -9999.    272.43    57.65     -7.44      0.31       4980.0    566.70    265.12     3.68     357.58      7.45 1  -9999.  -9999.   -76.8507    38.9998  -9999.  -9999.  -9999.
1176.59  -9999.    272.40    57.08     -7.42      0.33       4984.2    566.33    264.96     3.64     357.44      7.43 1  -9999.  -9999.   -76.8507    38.9998  -9999.  -9999.  -9999.
1177.59  -9999.    272.37    56.49     -7.41      0.35       4990.6    565.97    264.81     3.60     357.33      7.42 1  -9999.  -9999.   -76.8507    38.9997  -9999.  -9999.  -9999.
1178.59  -9999.    272.34    56.04     -7.40      0.35       4994.4    565.62    264.67     3.56     357.28      7.40 1  -9999.  -9999.   -76.8506    38.9997  -9999.  -9999.  -9999.
1179.59  -9999.    272.30    55.56     -7.38      0.35       4999.0    565.27    264.53     3.53     357.28      7.39 1  -9999.  -9999.   -76.8506    38.9996  -9999.  -9999.  -9999.
1180.59  -9999.    272.28    54.48     -7.37      0.34       5004.3    564.94    264.26     3.45     357.34      7.38 1  -9999.  -9999.   -76.8506    38.9996  -9999.  -9999.  -9999.
1181.59  -9999.    272.27    52.83     -7.37      0.33       5008.8    564.61    263.86     3.35     357.47      7.37 1  -9999.  -9999.   -76.8506    38.9995  -9999.  -9999.  -9999.
1182.59  -9999.    272.32    51.39     -7.36      0.30       5012.7    564.28    263.54     3.27     357.66      7.37 1  -9999.  -9999.   -76.8505    38.9994  -9999.  -9999.  -9999.
1183.59  -9999.    272.36    50.51     -7.35      0.27       5018.1    563.94    263.37     3.23     357.91      7.36 1  -9999.  -9999.   -76.8505    38.9994  -9999.  -9999.  -9999.
1184.59  -9999.    272.39    49.58     -7.35      0.23       5020.7    563.60    263.16     3.17     358.22      7.36 1  -9999.  -9999.   -76.8506    38.9993  -9999.  -9999.  -9999.
1185.59  -9999.    272.45    48.52     -7.36      0.18       5026.2    563.25    262.94     3.12     358.58      7.36 1  -9999.  -9999.   -76.8506    38.9992  -9999.  -9999.  -9999.
1186.59  -9999.    272.50    48.03     -7.36      0.13       5032.4    562.89    262.86     3.10     358.99      7.36 1  -9999.  -9999.   -76.8506    38.9991  -9999.  -9999.  -9999.
1187.59  -9999.    272.48    48.22     -7.37      0.07       5038.7    562.53    262.89     3.11     359.44      7.37 1  -9999.  -9999.   -76.8506    38.9990  -9999.  -9999.  -9999.
1188.59  -9999.    272.42    48.43     -7.39      0.01       5044.6    562.18    262.89     3.11     359.94      7.39 1  -9999.  -9999.   -76.8506    38.9989  -9999.  -9999.  -9999.
1189.59  -9999.    272.36    48.39     -7.41     -0.06       5048.9    561.83    262.83     3.10       0.47      7.41 1  -9999.  -9999.   -76.8506    38.9988  -9999.  -9999.  -9999.
1190.59  -9999.    272.31    48.30     -7.43     -0.14       5052.6    561.49    262.76     3.09       1.04      7.43 1  -9999.  -9999.   -76.8506    38.9988  -9999.  -9999.  -9999.
1191.59  -9999.    272.28    48.38     -7.45     -0.21       5056.7    561.15    262.74     3.09       1.64      7.46 1  -9999.  -9999.   -76.8506    38.9988  -9999.  -9999.  -9999.
1192.59  -9999.    272.25    48.59     -7.48     -0.30       5061.7    560.80    262.77     3.09       2.27      7.49 1  -9999.  -9999.   -76.8506    38.9987  -9999.  -9999.  -9999.
1193.59  -9999.    272.20    48.66     -7.51     -0.38       5067.6    560.44    262.75     3.09       2.90      7.52 1  -9999.  -9999.   -76.8506    38.9987  -9999.  -9999.  -9999.
1194.59  -9999.    272.15    48.69     -7.55     -0.47       5070.5    560.07    262.71     3.08       3.53      7.56 1  -9999.  -9999.   -76.8506    38.9987  -9999.  -9999.  -9999.
1195.59  -9999.    272.10    48.80     -7.59     -0.55       5076.6    559.68    262.69     3.08       4.14      7.61 1  -9999.  -9999.   -76.8506    38.9986  -9999.  -9999.  -9999.
1196.59  -9999.    272.05    49.05     -7.63     -0.63       5083.0    559.28    262.71     3.09       4.73      7.66 1  -9999.  -9999.   -76.8505    38.9985  -9999.  -9999.  -9999.
1197.59  -9999.    271.98    49.40     -7.68     -0.71       5091.0    558.87    262.74     3.10       5.29      7.71 1  -9999.  -9999.   -76.8505    38.9984  -9999.  -9999.  -9999.
1198.59  -9999.    271.92    49.64     -7.73     -0.79       5097.1    558.46    262.74     3.10       5.80      7.77 1  -9999.  -9999.   -76.8505    38.9983  -9999.  -9999.  -9999.
1199.59  -9999.    271.87    49.64     -7.78     -0.86       5102.7    558.05    262.69     3.09       6.28      7.83 1  -9999.  -9999.   -76.8506    38.9982  -9999.  -9999.  -9999.
1200.59  -9999.    271.81    49.56     -7.83     -0.92       5107.8    557.64    262.61     3.07       6.71      7.89 1  -9999.  -9999.   -76.8506    38.9982  -9999.  -9999.  -9999.
1201.59  -9999.    271.76    49.60     -7.88     -0.98       5112.4    557.23    262.58     3.07       7.10      7.94 1  -9999.  -9999.   -76.8506    38.9981  -9999.  -9999.  -9999.
1202.59  -9999.    271.73    49.76     -7.93     -1.04       5117.8    556.82    262.59     3.07       7.43      8.00 1  -9999.  -9999.   -76.8507    38.9980  -9999.  -9999.  -9999.
1203.59  -9999.    271.67    50.07     -7.98     -1.08       5123.6    556.40    262.62     3.08       7.71      8.05 1  -9999.  -9999.   -76.8508    38.9980  -9999.  -9999.  -9999.
1204.59  -9999.    271.61    50.41     -8.02     -1.12       5130.9    555.97    262.64     3.09       7.93      8.10 1  -9999.  -9999.   -76.8508    38.9980  -9999.  -9999.  -9999.
1205.59  -9999.    271.53    50.74     -8.06     -1.15       5138.6    555.55    262.65     3.09       8.09      8.14 1  -9999.  -9999.   -76.8508    38.9979  -9999.  -9999.  -9999.
1206.59  -9999.    271.45    51.06     -8.10     -1.16       5145.8    555.14    262.65     3.10       8.19      8.18 1  -9999.  -9999.   -76.8508    38.9978  -9999.  -9999.  -9999.
1207.59  -9999.    271.38    51.18     -8.13     -1.18       5151.8    554.75    262.62     3.09       8.23      8.21 1  -9999.  -9999.   -76.8508    38.9978  -9999.  -9999.  -9999.
1208.59  -9999.    271.33    51.15     -8.16     -1.18       5155.8    554.38    262.57     3.08       8.22      8.24 1  -9999.  -9999.   -76.8508    38.9977  -9999.  -9999.  -9999.
1209.59  -9999.    271.29    51.18     -8.18     -1.17       5159.8    554.03    262.54     3.08       8.15      8.26 1  -9999.  -9999.   -76.8508    38.9976  -9999.  -9999.  -9999.
1210.59  -9999.    271.26    51.35     -8.20     -1.16       5162.6    553.70    262.55     3.08       8.03      8.28 1  -9999.  -9999.   -76.8508    38.9975  -9999.  -9999.  -9999.
1211.59  -9999.    271.21    51.63     -8.21     -1.13       5168.7    553.37    262.57     3.09       7.85      8.29 1  -9999.  -9999.   -76.8508    38.9974  -9999.  -9999.  -9999.
1212.59  -9999.    271.15    51.88     -8.21     -1.10       5174.4    553.06    262.58     3.09       7.63      8.29 1  -9999.  -9999.   -76.8508    38.9973  -9999.  -9999.  -9999.
1213.59  -9999.    271.11    51.93     -8.21     -1.06       5178.4    552.74    262.55     3.09       7.35      8.28 1  -9999.  -9999.   -76.8509    38.9972  -9999.  -9999.  -9999.
1214.59  -9999.    271.07    51.83     -8.20     -1.01       5182.4    552.43    262.49     3.07       7.04      8.27 1  -9999.  -9999.   -76.8509    38.9971  -9999.  -9999.  -9999.
1215.59  -9999.    271.04    51.90     -8.19     -0.96       5185.8    552.12    262.48     3.07       6.69      8.25 1  -9999.  -9999.   -76.8510    38.9970  -9999.  -9999.  -9999.
1216.59  -9999.    271.00    52.22     -8.17     -0.90       5190.8    551.81    262.52     3.08       6.31      8.22 1  -9999.  -9999.   -76.8510    38.9969  -9999.  -9999.  -9999.
1217.59  -9999.    270.95    52.60     -8.15     -0.84       5196.2    551.49    262.57     3.10       5.91      8.19 1  -9999.  -9999.   -76.8510    38.9968  -9999.  -9999.  -9999.
1218.59  -9999.    270.90    52.82     -8.12     -0.78       5200.6    551.17    262.57     3.10       5.48      8.16 1  -9999.  -9999.   -76.8510    38.9967  -9999.  -9999.  -9999.
1219.59  -9999.    270.86    52.89     -8.09     -0.71       5204.2    550.84    262.55     3.10       5.05      8.12 1  -9999.  -9999.   -76.8510    38.9967  -9999.  -9999.  -9999.
1220.59  -9999.    270.82    53.03     -8.05     -0.65       5208.8    550.51    262.54     3.10       4.61      8.08 1  -9999.  -9999.   -76.8510    38.9966  -9999.  -9999.  -9999.
1221.59  -9999.    270.78    53.33     -8.02     -0.59       5214.6    550.17    262.58     3.11       4.18      8.04 1  -9999.  -9999.   -76.8510    38.9966  -9999.  -9999.  -9999.
1222.59  -9999.    270.72    53.62     -7.98     -0.53       5219.8    549.84    262.59     3.11       3.77      8.00 1  -9999.  -9999.   -76.8510    38.9965  -9999.  -9999.  -9999.
1223.59  -9999.    270.66    53.69     -7.94     -0.47       5225.2    549.50    262.56     3.10       3.38      7.95 1  -9999.  -9999.   -76.8510    38.9965  -9999.  -9999.  -9999.
1224.59  -9999.    270.62    53.58     -7.90     -0.42       5230.3    549.17    262.49     3.09       3.03      7.91 1  -9999.  -9999.   -76.8510    38.9965  -9999.  -9999.  -9999.
1225.59  -9999.    270.57    53.49     -7.85     -0.37       5234.9    548.84    262.42     3.07       2.71      7.86 1  -9999.  -9999.   -76.8510    38.9964  -9999.  -9999.  -9999.
1226.59  -9999.    270.52    53.51     -7.80     -0.33       5238.9    548.52    262.38     3.07       2.43      7.81 1  -9999.  -9999.   -76.8510    38.9963  -9999.  -9999.  -9999.
1227.59  -9999.    270.49    53.65     -7.75     -0.30       5243.4    548.20    262.38     3.07       2.20      7.76 1  -9999.  -9999.   -76.8510    38.9963  -9999.  -9999.  -9999.
1228.59  -9999.    270.45    53.88     -7.70     -0.27       5247.0    547.88    262.40     3.07       2.03      7.71 1  -9999.  -9999.   -76.8510    38.9962  -9999.  -9999.  -9999.
1229.59  -9999.    270.41    54.15     -7.65     -0.26       5251.3    547.55    262.42     3.08       1.91      7.65 1  -9999.  -9999.   -76.8509    38.9961  -9999.  -9999.  -9999.
1230.59  -9999.    270.36    54.41     -7.60     -0.25       5256.3    547.20    262.44     3.09       1.86      7.60 1  -9999.  -9999.   -76.8509    38.9960  -9999.  -9999.  -9999.
1231.59  -9999.    270.31    54.58     -7.55     -0.25       5262.3    546.85    262.43     3.09       1.88      7.55 1  -9999.  -9999.   -76.8509    38.9959  -9999.  -9999.  -9999.
1232.59  -9999.    270.25    54.72     -7.49     -0.26       5267.7    546.48    262.41     3.09       1.98      7.50 1  -9999.  -9999.   -76.8510    38.9958  -9999.  -9999.  -9999.
1233.59  -9999.    270.19    54.97     -7.44     -0.28       5272.9    546.11    262.41     3.09       2.16      7.45 1  -9999.  -9999.   -76.8510    38.9958  -9999.  -9999.  -9999.
1234.59  -9999.    270.13    55.23     -7.39     -0.31       5279.1    545.73    262.42     3.09       2.41      7.39 1  -9999.  -9999.   -76.8510    38.9957  -9999.  -9999.  -9999.
1235.59  -9999.    270.08    55.25     -7.33     -0.35       5286.4    545.36    262.37     3.08       2.74      7.34 1  -9999.  -9999.   -76.8510    38.9957  -9999.  -9999.  -9999.
1236.59  -9999.    270.03    55.23     -7.27     -0.40       5290.7    544.99    262.32     3.07       3.14      7.28 1  -9999.  -9999.   -76.8510    38.9957  -9999.  -9999.  -9999.
1237.59  -9999.    269.98    55.30     -7.21     -0.45       5295.3    544.64    262.29     3.07       3.61      7.22 1  -9999.  -9999.   -76.8510    38.9956  -9999.  -9999.  -9999.
1238.59  -9999.    269.95    55.35     -7.15     -0.52       5300.1    544.29    262.27     3.06       4.13      7.16 1  -9999.  -9999.   -76.8510    38.9955  -9999.  -9999.  -9999.
1239.59  -9999.    269.91    55.44     -7.08     -0.58       5305.5    543.95    262.25     3.06       4.69      7.10 1  -9999.  -9999.   -76.8510    38.9954  -9999.  -9999.  -9999.
1240.59  -9999.    269.86    55.65     -7.01     -0.65       5310.3    543.62    262.26     3.06       5.28      7.04 1  -9999.  -9999.   -76.8510    38.9953  -9999.  -9999.  -9999.
1241.59  -9999.    269.81    55.94     -6.95     -0.72       5314.1    543.29    262.27     3.07       5.89      6.98 1  -9999.  -9999.   -76.8510    38.9952  -9999.  -9999.  -9999.
1242.59  -9999.    269.76    56.20     -6.88     -0.78       5320.3    542.97    262.29     3.08       6.50      6.93 1  -9999.  -9999.   -76.8510    38.9951  -9999.  -9999.  -9999.
1243.59  -9999.    269.72    56.50     -6.82     -0.85       5324.3    542.65    262.31     3.08       7.12      6.87 1  -9999.  -9999.   -76.8510    38.9950  -9999.  -9999.  -9999.
1244.59  -9999.    269.67    56.84     -6.75     -0.91       5328.4    542.33    262.34     3.09       7.71      6.82 1  -9999.  -9999.   -76.8510    38.9950  -9999.  -9999.  -9999.
1245.59  -9999.    269.62    57.05     -6.70     -0.98       5333.0    542.01    262.34     3.09       8.30      6.77 1  -9999.  -9999.   -76.8510    38.9949  -9999.  -9999.  -9999.
1246.59  -9999.    269.59    57.14     -6.64     -1.03       5337.1    541.68    262.33     3.09       8.85      6.72 1  -9999.  -9999.   -76.8510    38.9949  -9999.  -9999.  -9999.
1247.59  -9999.    269.55    57.28     -6.59     -1.09       5341.5    541.34    262.33     3.09       9.37      6.68 1  -9999.  -9999.   -76.8510    38.9949  -9999.  -9999.  -9999.
1248.59  -9999.    269.49    57.59     -6.55     -1.13       5347.1    541.00    262.34     3.10       9.83      6.64 1  -9999.  -9999.   -76.8510    38.9948  -9999.  -9999.  -9999.
1249.59  -9999.    269.42    57.96     -6.51     -1.17       5353.6    540.66    262.36     3.11      10.23      6.61 1  -9999.  -9999.   -76.8510    38.9948  -9999.  -9999.  -9999.
1250.59  -9999.    269.36    58.26     -6.48     -1.21       5359.6    540.31    262.36     3.11      10.55      6.59 1  -9999.  -9999.   -76.8510    38.9948  -9999.  -9999.  -9999.
1251.59  -9999.    269.30    58.43     -6.46     -1.23       5364.3    539.98    262.34     3.11      10.79      6.57 1  -9999.  -9999.   -76.8511    38.9947  -9999.  -9999.  -9999.
1252.59  -9999.    269.26    58.41     -6.45     -1.25       5368.6    539.65    262.30     3.10      10.94      6.57 1  -9999.  -9999.   -76.8511    38.9947  -9999.  -9999.  -9999.
1253.59  -9999.    269.23    58.17     -6.45     -1.25       5372.1    539.32    262.21     3.08      10.99      6.57 1  -9999.  -9999.   -76.8512    38.9946  -9999.  -9999.  -9999.
1254.59  -9999.    269.19    57.88     -6.47     -1.25       5376.3    539.00    262.12     3.06      10.96      6.59 1  -9999.  -9999.   -76.8513    38.9946  -9999.  -9999.  -9999.
1255.59  -9999.    269.15    57.84     -6.49     -1.25       5380.2    538.67    262.07     3.05      10.85      6.61 1  -9999.  -9999.   -76.8513    38.9945  -9999.  -9999.  -9999.
1256.59  -9999.    269.11    58.12     -6.53     -1.23       5386.8    538.33    262.09     3.05      10.68      6.65 1  -9999.  -9999.   -76.8514    38.9945  -9999.  -9999.  -9999.
1257.59  -9999.    269.06    58.53     -6.59     -1.22       5392.2    537.99    262.13     3.07      10.46      6.70 1  -9999.  -9999.   -76.8514    38.9944  -9999.  -9999.  -9999.
1258.59  -9999.    269.00    58.86     -6.65     -1.20       5397.6    537.63    262.15     3.07      10.21      6.76 1  -9999.  -9999.   -76.8514    38.9944  -9999.  -9999.  -9999.
