Generated by Rfunction:  Gera.mw41.edt.skewT.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   X1422247
RS_freq:        405
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2025-06-23 06:45:05
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  25.59  -9999.    300.94    65.46     -3.34      6.32        184.6    997.19    293.90    15.48     297.88      7.15 1  -9999.  -9999.   -76.8745    39.0565  -9999.  -9999.  -9999.
  26.59  -9999.    301.12    64.63     -3.61      6.47        190.3    996.67    293.87    15.46     299.11      7.41 1  -9999.  -9999.   -76.8744    39.0564  -9999.  -9999.  -9999.
  27.59  -9999.    301.33    63.82     -3.86      6.62        194.6    996.15    293.86    15.45     300.26      7.67 1  -9999.  -9999.   -76.8743    39.0564  -9999.  -9999.  -9999.
  28.59  -9999.    301.54    62.95     -4.12      6.76        198.9    995.64    293.83    15.44     301.33      7.92 1  -9999.  -9999.   -76.8743    39.0563  -9999.  -9999.  -9999.
  29.59  -9999.    301.77    62.16     -4.36      6.89        204.1    995.13    293.85    15.46     302.31      8.16 1  -9999.  -9999.   -76.8742    39.0563  -9999.  -9999.  -9999.
  30.59  -9999.    301.99    61.57     -4.60      7.02        208.8    994.64    293.91    15.52     303.22      8.39 1  -9999.  -9999.   -76.8741    39.0562  -9999.  -9999.  -9999.
  31.59  -9999.    302.15    61.09     -4.82      7.13        212.0    994.14    293.92    15.55     304.06      8.61 1  -9999.  -9999.   -76.8741    39.0562  -9999.  -9999.  -9999.
  32.59  -9999.    302.23    60.66     -5.04      7.24        216.6    993.66    293.89    15.52     304.85      8.82 1  -9999.  -9999.   -76.8740    39.0561  -9999.  -9999.  -9999.
  33.59  -9999.    302.32    60.31     -5.25      7.34        220.1    993.18    293.87    15.51     305.58      9.03 1  -9999.  -9999.   -76.8739    39.0560  -9999.  -9999.  -9999.
  34.59  -9999.    302.37    60.17     -5.46      7.44        225.1    992.70    293.89    15.54     306.26      9.22 1  -9999.  -9999.   -76.8739    39.0560  -9999.  -9999.  -9999.
  35.59  -9999.    302.37    60.18     -5.65      7.53        231.1    992.22    293.89    15.55     306.90      9.41 1  -9999.  -9999.   -76.8738    39.0559  -9999.  -9999.  -9999.
  36.59  -9999.    302.36    60.21     -5.84      7.61        234.2    991.75    293.89    15.55     307.50      9.59 1  -9999.  -9999.   -76.8737    39.0559  -9999.  -9999.  -9999.
  37.59  -9999.    302.37    60.15     -6.02      7.69        237.6    991.28    293.88    15.55     308.07      9.76 1  -9999.  -9999.   -76.8736    39.0558  -9999.  -9999.  -9999.
  38.59  -9999.    302.37    60.05     -6.20      7.76        242.6    990.81    293.86    15.53     308.62      9.93 1  -9999.  -9999.   -76.8735    39.0557  -9999.  -9999.  -9999.
  39.59  -9999.    302.39    59.98     -6.37      7.82        246.3    990.35    293.85    15.54     309.15     10.09 1  -9999.  -9999.   -76.8734    39.0557  -9999.  -9999.  -9999.
  40.59  -9999.    302.38    59.98     -6.54      7.88        249.8    989.88    293.84    15.54     309.68     10.24 1  -9999.  -9999.   -76.8733    39.0556  -9999.  -9999.  -9999.
  41.59  -9999.    302.35    59.95     -6.70      7.93        255.0    989.41    293.81    15.51     310.20     10.39 1  -9999.  -9999.   -76.8732    39.0556  -9999.  -9999.  -9999.
  42.59  -9999.    302.34    59.80     -6.87      7.98        259.3    988.95    293.76    15.47     310.73     10.53 1  -9999.  -9999.   -76.8731    39.0555  -9999.  -9999.  -9999.
  43.59  -9999.    302.35    59.52     -7.04      8.02        263.0    988.48    293.69    15.41     311.27     10.67 1  -9999.  -9999.   -76.8730    39.0555  -9999.  -9999.  -9999.
  44.59  -9999.    302.38    59.15     -7.20      8.05        267.3    988.01    293.62    15.35     311.81     10.80 1  -9999.  -9999.   -76.8729    39.0554  -9999.  -9999.  -9999.
  45.59  -9999.    302.43    58.73     -7.37      8.08        273.2    987.54    293.55    15.29     312.37     10.93 1  -9999.  -9999.   -76.8728    39.0553  -9999.  -9999.  -9999.
  46.59  -9999.    302.49    58.30     -7.53      8.09        275.6    987.07    293.49    15.24     312.94     11.06 1  -9999.  -9999.   -76.8727    39.0553  -9999.  -9999.  -9999.
  47.59  -9999.    302.54    57.97     -7.70      8.11        280.4    986.60    293.44    15.20     313.53     11.18 1  -9999.  -9999.   -76.8726    39.0552  -9999.  -9999.  -9999.
  48.59  -9999.    302.58    57.84     -7.87      8.11        284.3    986.13    293.44    15.21     314.14     11.30 1  -9999.  -9999.   -76.8725    39.0552  -9999.  -9999.  -9999.
  49.59  -9999.    302.57    57.85     -8.05      8.11        287.3    985.66    293.44    15.21     314.77     11.43 1  -9999.  -9999.   -76.8724    39.0551  -9999.  -9999.  -9999.
  50.59  -9999.    302.55    57.88     -8.22      8.10        293.7    985.18    293.43    15.21     315.42     11.54 1  -9999.  -9999.   -76.8723    39.0550  -9999.  -9999.  -9999.
  51.59  -9999.    302.54    57.90     -8.40      8.09        297.1    984.70    293.42    15.21     316.08     11.66 1  -9999.  -9999.   -76.8722    39.0550  -9999.  -9999.  -9999.
  52.59  -9999.    302.53    57.85     -8.57      8.07        302.4    984.22    293.40    15.20     316.75     11.77 1  -9999.  -9999.   -76.8721    39.0549  -9999.  -9999.  -9999.
  53.59  -9999.    302.53    57.65     -8.75      8.04        307.6    983.75    293.35    15.15     317.43     11.88 1  -9999.  -9999.   -76.8720    39.0548  -9999.  -9999.  -9999.
  54.59  -9999.    302.56    57.35     -8.92      8.00        310.9    983.29    293.29    15.10     318.11     11.98 1  -9999.  -9999.   -76.8719    39.0547  -9999.  -9999.  -9999.
